CodiceStazione;NomeStazione;NomeComune;Provincia;QuotaStazione;EPSG3003_X;EPSG3003_Y;EPSG4258_LON;EPSG4258_LAT;Bacino;SottoBacino;ZeroIdrometrico
0454;Favaro Veneto;VENEZIA;VE;2;1756088;5045671;12.27913053;45.52025412;BACINO SCOLANTE IN LAGUNA DI VENEZIA;BACINO SCOLANTE IN LAGUNA DI VENEZIA;>>
0388;Faverghera;BELLUNO;BL;1603;1755303;5107713;12.30125;46.07508334;LIVENZA: VENETO;LIVENZA: ZONA MONTANA;>>
0217;Feltre;FELTRE;BL;264;1724099;5099945;11.89462516;46.01620135;PIAVE: VENETO;PIAVE - Sonna;>>
0242;Fiorentina a Sottorovei;COLLE SANTA LUCIA;BL;1052;1731286;5147367;12.01058641;46.44001853;PIAVE: VENETO;PIAVE - Cordevole;>>
0574;Follina;FOLLINA;TV;208;1741932;5094402;12.12185345;45.96032669;PIAVE: VENETO;PIAVE - Soligo;>>
0056;Forno di Zoldo - Campo;VAL DI ZOLDO;BL;872;1745068;5137519;12.1845653;46.34666725;PIAVE: VENETO;PIAVE - Maé;>>
0165;Fossalta di Portogruaro;FOSSALTA DI PORTOGRUARO;VE;3;1802759;5076523;12.89394125;45.77566742;LEMENE: VENETO;LEMENE: ROGGIA LUGUGNANA - TAGLIO NUOVO;>>
0286;Frassine a Borgofrassine;MONTAGNANA;PD;17;1694722;5013895;11.48111185;45.25140892;BRENTA: VENETO;BRENTA - Fratta - Gorzone;16.72
0288;Frassine a Brancaglia;ESTE;PD;11;1707041;5013553;11.63779654;45.24481654;BRENTA: VENETO;BRENTA- Bacchiglione - Frassine;12.70
0116;Frassinelle Polesine;FRASSINELLE POLESINE;RO;4;1711195;4985401;11.67878306;44.99044959;FISS.TAR.C.BIANCO;FISSERO - Tartaro - Canalbianco ;>>
0325;Fratta a S.Salvaro;URBANA;PD;15;1689150;5008444;11.40809307;45.20390985;BRENTA: VENETO;BRENTA - Bacchiglione - Fratta - Guà;12.21
0330;Fratta a Valli Mocenighe;PIACENZA D'ADIGE;PD;4;1701646;5003407;11.56501188;45.15514499;BRENTA: VENETO;BRENTA - Fratta - Gorzone;7.15
0186;Gaiarine;GAIARINE;TV;17;1771060;5088027;12.49348723;45.89217558;LIVENZA: VENETO;LIVENZA - Monticano;>>
0345;Gallio;GALLIO;VI;1176;1698124;5083931;11.55281023;45.88022083;BRENTA: VENETO;BRENTA - Val d'Assa;>>
0265;Galzignano - Ca' Demia;GALZIGNANO;PD;3;1715069;5019992;11.74268777;45.30014284;BACINO SCOLANTE IN LAGUNA DI VENEZIA;BACINO SCOLANTE IN LAGUNA DI VENEZIA;>>
0015;Gares;CANALE D'AGORDO;BL;1365;1721980;5132902;11.88273666;46.3131289;PIAVE: VENETO;PIAVE - Cordevole;>>
0291;Gorzone a Carmignano;SANT'URBANO;PD;5;1707874;5002325;11.6437112;45.14361507;BRENTA: VENETO;BRENTA;6.08
0328;Gorzone a Stanghella;STANGHELLA;PD;2;1716768;5002778;11.75689995;45.14500912;BRENTA: VENETO;BRENTA - Fratta - Gorzone;5.10
0177;Grantorto;GRANTORTO;PD;32;1714687;5052726;11.75218331;45.59472035;BRENTA: VENETO;BRENTA;>>
0128;Grezzana;GREZZANA;VR;156;1657310;5041574;11.0135023;45.50976063;ADIGE: VENETO;ADIGE;>>
0600;Grumolo delle Abbadesse;GRUMOLO DELLE ABBADESSE;VI;26;1707322;5043799;11.65407532;45.51669272;;;>>
0295;Gua' a Cologna Veneta;COLOGNA VENETA;VR;21;1686828;5020897;11.38324121;45.31652621;BRENTA: VENETO;BRENTA - Bacchiglione - Fratta - Guà;20.58
0304;Gua' a Lonigo;LONIGO;VI;31;1686946;5029281;11.38791918;45.39189742;BRENTA: VENETO;BRENTA - Agno - Guà;30.85
0313;Gua' a Ponte Arzignano;ARZIGNANO;VI;83;1685596;5042611;11.37571468;45.51213484;BRENTA: VENETO;BRENTA - Bacchiglione - Fratta - Guà;83.17
0555;Gua' a Ponte Asse;MONTEBELLO VICENTINO;VI;57;1687748;5037111;11.40114264;45.46209446;;;56.61
0317;Gua' a Ponte Gua';MONTECCHIO MAGGIORE;VI;71;1686915;5040431;11.39176197;45.4921808;BRENTA: VENETO;BRENTA - Bacchiglione - Fratta - Guà;70.00
0126;Illasi;ILLASI;VR;144;1669805;5036401;11.17156147;45.46030398;ADIGE: VENETO;ADIGE - Illasi;>>
0346;La Secca;PONTE NELLE ALPI;BL;386;1756367;5113855;12.31830088;46.12987309;PIAVE: VENETO;PIAVE - Alpago;>>
0312;Lago di Garda a Peschiera Navigarda;PESCHIERA DEL GARDA;VR;65;1632613;5033342;10.69527778;45.44083334;PO: VENETO;PO: LAGO BENACO O DI GARDA;>>
0200;Lamon - Sala;LAMON;BL;650;1712502;5103278;11.74647606;46.04985912;BRENTA: VENETO;BRENTA: CISMON;>>
0111;Legnaro;LEGNARO;PD;7;1731296;5025799;11.95217201;45.34734845;BACINO SCOLANTE IN LAGUNA DI VENEZIA;BACINO SCOLANTE IN LAGUNA DI VENEZIA;>>
0320;Lemene a Portogruaro;PORTOGRUARO;VE;5;1798389;5077538;12.83849076;45.78668228;LEMENE: VENETO;LEMENE;-0.15
0294;Livenza a Cessalto;CESSALTO;TV;0;1785931;5071053;12.67472018;45.7337044;LIVENZA: VENETO;LIVENZA;1.04
0300;Livenza a La Salute di Livenza;SANTO STINO DI LIVENZA;VE;1;1796111;5062836;12.80027552;45.65562895;LIVENZA: VENETO;LIVENZA;-0.60
0306;Livenza a Meduna di Livenza;MEDUNA DI LIVENZA;TV;2;1780582;5078759;12.61057947;45.80510864;LIVENZA: VENETO;LIVENZA;2.34
0401;Livenza a Motta di Livenza;MOTTA DI LIVENZA;TV;1;1781200;5075365;12.61654734;45.77437172;LIVENZA: VENETO;LIVENZA;1.67
0400;Livenza a Portobuffole';PORTOBUFFOLE';TV;3;1774592;5083562;12.5363832;45.85066951;LIVENZA: VENETO;LIVENZA;4.89
0199;Longarone;LONGARONE;BL;435;1754615;5128434;12.30351169;46.26152058;PIAVE: VENETO;PIAVE;>>
0105;Lonigo;LONIGO;VI;29;1686303;5029102;11.37964132;45.39045584;BRENTA: VENETO;BRENTA - Agno - Guà;>>
0166;Lugugnana (Portogruaro);PORTOGRUARO;VE;0;1807248;5068864;12.94668823;45.70491156;LEMENE: VENETO;LEMENE: ROGGIA LUGUGNANA - TAGLIO NUOVO;>>
0121;Lusia;LUSIA;RO;6;1707266;4996612;11.63364487;45.09241907;FISS.TAR.C.BIANCO;FTC: DELTA PO ADIGE;>>
0139;Lusiana;LUSIANA;VI;767;1701210;5073345;11.58812049;45.78414598;BRENTA: VENETO;BRENTA: VALD'ASTICO;>>
0060;Malga Campobon (San Pietro di Cadore);SAN PIETRO DI CADORE;BL;1939;1775801;5172010;12.60365549;46.64463814;PIAVE: VENETO;PIAVE;>>
0011;Malga Ciapela;ROCCA PIETORE;BL;1475;1723206;5145802;11.90478762;46.42867129;PIAVE: VENETO;PIAVE - Cordevole;>>
0398;Malga Larici;ASIAGO;VI;1606;1687482;5092874;11.4193;45.96361667;BRENTA: VENETO;BRENTA - Val d'Assa;>>
0390;Malga Losch;VOLTAGO AGORDINO;BL;1757;1728099;5127483;11.95947222;46.26238889;PIAVE: VENETO;PIAVE - Cordevole;>>
0134;Malo;MALO;VI;98;1691985;5060283;11.46439144;45.66931288;BRENTA: VENETO;BRENTA - Bacchiglione;>>
0124;Marano di Valpolicella;MARANO DI VALPOLICELLA;VR;284;1650162;5045637;10.92332541;45.54788884;ADIGE: VENETO;ADIGE;>>
0041;Marmolada - Punta Rocca;ROCCA PIETORE;BL;3250;1719960;5146229;11.86279487;46.4335743;PIAVE: VENETO;PIAVE - Cordevole;>>
0197;Maser;MASER;TV;100;1728768;5073718;11.94236996;45.77892133;BACINO SCOLANTE IN LAGUNA DI VENEZIA;BACINO SCOLANTE IN LAGUNA DI VENEZIA;>>
0151;Masi;MASI;PD;9;1695161;4999004;11.48088305;45.11740196;BRENTA: VENETO;BRENTA;>>
0462;Meschio a Borgo Campion;COLLE UMBERTO;TV;95;1758842;5094972;12.34003131;45.95927942;LIVENZA: VENETO;LIVENZA;94.23
0296;Meschio a Cordignano;CORDIGNANO;TV;56;1764719;5094006;12.41520288;45.94835609;LIVENZA: VENETO;LIVENZA;54.14
0463;Meschio a Vittorio Veneto;VITTORIO VENETO;TV;129;1755622;5098333;12.30033473;45.99068329;;;129.06
0167;Mira;MIRA;VE;3;1743806;5036506;12.1169216;45.43934709;BACINO SCOLANTE IN LAGUNA DI VENEZIA;BACINO SCOLANTE IN LAGUNA DI VENEZIA;>>
0238;Misurina;AURONZO DI CADORE;BL;1743;1749057;5163251;12.25007045;46.5764122;PIAVE: VENETO;PIAVE: ANSIEI;>>
0227;Mogliano Veneto;MOGLIANO VENETO;TV;5;1758086;5052812;12.30779083;45.5807425;BACINO SCOLANTE IN LAGUNA DI VENEZIA;BACINO SCOLANTE IN LAGUNA DI VENEZIA;>>
0191;Molini (Laghi);LAGHI;VI;623;1675242;5078025;11.25603835;45.83331375;BRENTA: VENETO;BRENTA - Posina;>>
0544;Mondeval di Sopra (Selva di Cadore);SAN VITO DI CADORE;BL;2175;1738129;5150354;12.1010932;46.46438088;PIAVE: VENETO;PIAVE - Cordevole;>>
0106;Montagnana;MONTAGNANA;PD;12;1690158;5013351;11.4227919;45.24776886;BRENTA: VENETO;BRENTA - Fratta - Gorzone;>>
0067;Monte Avena;PEDAVENA;BL;1415;1718812;5101524;11.82713557;46.03210396;BRENTA: VENETO;BRENTA: CISMON;>>
